"","Team","City","State[1]","Current
Conference","City_State","Longtitude","Latiutude","totaldefense__YDS","totaldefense__YDS/G","totaldefense__PASS","totaldefense__P YDS/G","totaldefense__RUSH","totaldefense__R YDS/G","totaldefense__PTS","totaldefense__PTS/G","passingYards_ATT","passingYards_COMP","passingYards_PCT","passingYards_YDS","passingYards_YDS/A","passingYards_LONG","passingYards_TD","passingYards_INT","passingYards_SACK","passingYards_YDSL","passingYards_RAT","passingYards_YDS/G","rushingdefense__ATT","rushingdefense__YDS","rushingdefense__YDS/A","rushingdefense__LONG","rushingdefense__TD","rushingdefense__YDS/G","tackles_SOLO","tackles_AST","tackles_TOTAL","sacks_SACK","sacks_YDSL","interceptions_PD","interceptions_INT","interceptions_YDS","interceptions_LONG","interceptions_TD","fumbless_REC","efficiency_DEFENSE","efficiency_OVERALL"
"1","Air Force","Colorado Springs","Colorado","Mountain West","Colorado Springs,CO",-104.857828,38.861469,"3056","306","1900","190.0","1156","115.6","198","19.8","279","144","51.6","1900","6.8","48","15","10","30","187","119.4","190.0","315","1156","3.7","67","9","115.6","300","260","560","30.0","187","33","10","83","22","1","5","53.2","49.5"
"2","Akron","Akron","Ohio","MAC","Akron,OH",-81.524017,41.04349,"3416","342","2478","247.8","938","93.8","237","23.7","358","209","58.4","2478","6.9","78","19","11","25","187","127.9","247.8","334","938","2.8","36","10","93.8","384","266","650","24.0","185","38","11","29","17","0","8","59.1","41.7"
"3","Alabama","Tuscaloosa","Alabama","SEC","Tuscaloosa,AL",-87.569174,33.209841,"2781","278","2010","201.0","771","77.1","153","15.3","352","177","50.3","2010","5.7","73","11","14","38","227","100.6","201.0","310","771","2.5","83","5","77.1","350","293","643","38.0","227","56","14","408","93","4","6","92.7","87.4"
"4","Appalachian State","Boone","North Carolina","Sun Belt","Boone,NC",-81.699784,36.222156,"3205","321","1858","185.8","1347","134.7","185","18.5","288","172","59.7","1858","6.5","59","10","13","24","154","116.3","185.8","369","1347","3.7","73","10","134.7","397","282","679","24.0","154","23","13","221","91","3","5","62.5","71.1"
"5","Arizona","Tucson","Arizona","Pac-12","Tucson,AZ",-110.970869,32.217975,"4995","454","2983","271.2","2012","182.9","376","34.2","389","245","63.0","2983","7.7","72","25","7","23","157","145.0","271.2","464","2012","4.3","74","23","182.9","554","210","764","23.0","157","33","7","54","25","1","4","36.0","54.4"
"6","Arizona State","Tempe","Arizona","Pac-12","Tempe,AZ",-111.931298,33.401395,"4224","422","2978","297.8","1246","124.6","307","30.7","371","216","58.2","2978","8.0","80","23","11","36","243","140.2","297.8","361","1246","3.5","65","14","124.6","451","150","601","36.0","243","32","11","87","30","0","4","57.1","56.4"
"7","Arkansas","Fayetteville","Arkansas","SEC","Fayetteville,AR",-94.190997,35.974602,"4047","405","2823","282.3","1224","122.4","279","27.9","333","221","66.4","2823","8.5","81","12","8","13","103","144.7","282.3","321","1224","3.8","38","22","122.4","349","354","703","13.0","103","31","8","72","28","0","5","45.3","73.2"
"8","Arkansas State","Jonesboro","Arkansas","Sun Belt","Jonesboro,AR",-90.623071,35.835847,"3948","395","2481","248.1","1467","146.7","301","30.1","382","195","51.0","2481","6.5","76","19","21","24","164","111.0","248.1","350","1467","4.2","85","17","146.7","383","266","649","24.0","164","45","21","327","60","4","6","66.0","52.6"
"9","Army","West Point","New York","Independent","West Point,NY",-73.955972,41.391483,"3836","384","2307","230.7","1529","152.9","282","28.2","271","167","61.6","2307","8.5","90","12","6","15","73","143.3","230.7","356","1529","4.3","53","20","152.9","372","238","610","15.0","64","23","6","98","45","0","5","24.3","20.8"
"10","Auburn","Auburn","Alabama","SEC","Auburn,AL",-85.468222,32.547542,"4118","412","2251","225.1","1867","186.7","265","26.5","347","216","62.2","2251","6.5","45","11","11","14","104","120.9","225.1","405","1867","4.6","71","20","186.7","359","398","757","14.0","104","36","11","61","35","0","4","57.7","63.3"
