"","Team","City","State[1]","Current
Conference","City_State","Longtitude","Latiutude","total_YDS","total_YDS/G","total_PASS","total_P YDS/G","total_RUSH","total_R YDS/G","total_PTS","total_PTS/G","passing_ATT","passing_COMP","passing_PCT","passing_YDS","passing_YDS/A","passing_LONG","passing_TD","passing_INT","passing_SACK","passing_YDSL","passing_RAT","passing_YDS/G","rushing_ATT","rushing_YDS","rushing_YDS/A","rushing_LONG","rushing_TD","rushing_YDS/G","totalTouchdowns_REC","totalTouchdowns_YDS","totalTouchdowns_AVG","totalTouchdowns_LONG","totalTouchdowns_TD","totalTouchdowns_YDS/G","firstdowns_TOTAL","firstdowns_RUSH","firstdowns_PASS","firstdowns_PEN","thirddowns_MADE","thirddowns_ATT","thirddowns_PCT","fourthdowns_MADE","fourthdowns_ATT","fourthdowns_PCT","penalties_TOTAL","penalties_YDS","efficiency_OFFENSE","efficiency_OVERALL"
"1","Air Force","Colorado Springs","Colorado","Mountain West","Colorado Springs,CO",-104.857828,38.861469,"4545","455","1217","121.7","3328","332.8","341","34.1","112","60","53.6","1217","10.9","74","8","5","0","0","159.5","121.7","625","3328","5.3","63","35","332.8","60","1217","20.3","74","8","121.7","226","169","44","13","69","151","45.7","12","20","60.0","42","404","49.8","49.5"
"2","Akron","Akron","Ohio","MAC","Akron,OH",-81.524017,41.04349,"3516","352","1928","192.8","1588","158.8","226","22.6","291","141","48.5","1928","6.6","72","12","11","14","-110","110.2","192.8","397","1588","4.0","38","16","158.8","141","1928","13.7","72","12","192.8","189","84","86","19","58","157","36.9","5","11","45.5","79","672","28.4","41.7"
"3","Alabama","Tuscaloosa","Alabama","SEC","Tuscaloosa,AL",-87.569174,33.209841,"4188","419","2195","219.5","1993","199.3","329","32.9","313","206","65.8","2195","7.0","81","13","10","16","-126","132.0","219.5","418","1993","4.8","74","22","199.3","206","2195","10.7","81","13","219.5","218","105","97","16","50","143","35.0","7","17","41.2","67","615","66.6","87.4"
"4","Appalachian State","Boone","North Carolina","Sun Belt","Boone,NC",-81.699784,36.222156,"4782","478","2087","208.7","2695","269.5","384","38.4","228","138","60.5","2087","9.2","58","28","7","8","-49","171.8","208.7","474","2695","5.7","78","18","269.5","138","2087","15.1","58","28","208.7","223","124","83","16","56","135","41.5","13","21","61.9","67","583","63.1","81.5"
"5","Arizona","Tucson","Arizona","Pac-12","Tucson,AZ",-110.970869,32.217975,"5482","498","2879","261.7","2603","236.6","404","36.7","399","240","60.2","2879","7.2","70","23","7","22","-111","136.3","261.7","460","2603","5.7","79","26","236.6","240","2879","12.0","70","23","261.7","282","127","125","30","71","163","43.6","8","23","34.8","63","545","70.1","54.4"
"6","Arizona State","Tempe","Arizona","Pac-12","Tempe,AZ",-111.931298,33.401395,"4535","454","2759","275.9","1776","177.6","308","30.8","407","243","59.7","2759","6.8","93","20","8","33","-192","128.9","275.9","404","1776","4.4","63","16","177.6","243","2759","11.4","93","20","275.9","230","91","125","14","76","179","42.5","8","14","57.1","42","378","53.7","56.4"
"7","Arkansas","Fayetteville","Arkansas","SEC","Fayetteville,AR",-94.190997,35.974602,"4693","469","2663","266.3","2030","203.0","344","34.4","288","185","64.2","2663","9.2","71","23","6","11","-74","164.1","266.3","389","2030","5.2","80","22","203.0","185","2663","14.4","71","23","266.3","231","99","126","6","55","122","45.1","11","19","57.9","51","443","85.8","73.2"
"8","Arkansas State","Jonesboro","Arkansas","Sun Belt","Jonesboro,AR",-90.623071,35.835847,"4237","424","1988","198.8","2249","224.9","385","38.5","277","157","56.7","1988","7.2","65","19","12","21","-189","130.9","198.8","477","2249","4.7","73","25","224.9","157","1988","12.7","65","19","198.8","214","114","85","15","52","149","34.9","8","16","50.0","78","738","36.0","52.6"
"9","Army","West Point","New York","Independent","West Point,NY",-73.955972,41.391483,"3313","331","780","78.0","2533","253.3","227","22.7","84","36","42.9","780","9.3","71","8","6","11","-80","138.0","78.0","520","2533","4.9","71","21","253.3","36","780","21.7","71","8","78.0","160","124","25","11","55","133","41.4","8","20","40.0","43","411","27.6","20.8"
"10","Auburn","Auburn","Alabama","SEC","Auburn,AL",-85.468222,32.547542,"3687","369","1774","177.4","1913","191.3","257","25.7","248","146","58.9","1774","7.2","51","7","9","16","-109","121.0","177.4","443","1913","4.3","65","20","191.3","146","1774","12.2","51","7","177.4","197","114","77","6","58","138","42.0","5","9","55.6","40","389","60.8","63.3"
"11","Ball State","Muncie","Indiana","MAC","Muncie,IN",-85.389874,40.142124,"4195","381","2465","224.1","1730","157.3","267","24.3","419","239","57.0","2465","5.9","53","16","6","10","-75","116.2","224.1","399","1730","4.3","47","15","157.3","239","2465","10.3","53","16","224.1","235","96","116","23","69","179","38.5","11","21","52.4","43","415","29.7","22.2"
"12","Baylor","Waco","Texas","Big 12","Waco,TX",-97.1382,31.552011,"5741","638","3111","345.7","2630","292.2","493","54.8","288","182","63.2","3111","10.8","87","40","8","11","-60","194.2","345.7","420","2630","6.3","79","27","292.2","182","3111","17.1","87","40","345.7","262","131","119","12","57","118","48.3","17","22","77.3","83","761","91.9","83.2"
"13","Boise State","Boise","Idaho","Mountain West","Boise,ID",-116.203451,43.6135,"4991","499","3221","322.1","1770","177.0","383","38.3","403","257","63.8","3221","8.0","85","18","11","22","-148","140.2","322.1","430","1770","4.1","56","27","177.0","257","3221","12.5","85","18","322.1","263","94","147","22","65","162","40.1","12","20","60.0","64","531","48.8","60.4"
